                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                 5.9306361170002990E+000                 -4.9325444679145862E+000                  9.2903005922710236E+000                  6.6706056808620878E+005                  0.0000000000000000E+000                                        1                  1.5233083371833427E+007                 -1.3894494794177255E+001                  1.3349601345257651E+000                  8.3995495605363257E-001                  4.4071710333320369E+014                  1.6983693942702954E+009                  7.4273700623970194E+009                  1.3890906172896265E+000                  1.3516259065051313E+000                  3.1763505858843527E-001                  3.0471689179414838E+000                  2.3435199590504824E-001                  1.4650196404396354E+001                  6.4426102779969341E+000                  1.7611407688493468E+001                  1.0335550780865589E-010                  1.6422899977691047E-003                  5.6984982704232340E-006                  1.4650196763916185E+001                 -9.8999999999999986E+001                  2.2940326365493270E-031                  9.9800573083340305E-001                  3.5422119149861250E-005                  2.9697728541487572E-005                  1.5075309063549520E-004                  4.8003173860776410E-005                  9.5182462959034604E-005                  6.3428411822734543E-075                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.3144753003761185E-004                  0.0000000000000000E+000                 -1.5154208022984934E+000                  6.0172641390159916E-006                  1.0000000000000000E-050                 -5.0000000000000000E+001                  8.3524863095668206E+003                  3.9218157724652771E+000                  3.5030059054560615E+051                 -5.0000000000000000E+001 
                 5.9307992123235653E+000                 -4.9322770103013971E+000                  9.2908825355186799E+000                  6.6706055015175149E+005                  0.0000000000000000E+000                                        1                  1.5238486000469107E+007                 -1.3894451197377162E+001                  1.3349600387907536E+000                  8.3994982525732453E-001                  4.4105040721282650E+014                  1.6991887895341344E+009                  7.4334319961549273E+009                  1.3890698819585845E+000                  1.3516171182399666E+000                  3.1752442997388047E-001                  3.0475006633390747E+000                  2.3432562490429903E-001                  1.4650468590298344E+001                  6.4426008403068700E+000                  1.7611407688393417E+001                  1.9340294121386800E-010                  1.6422899978085661E-003                  9.2445205019751322E-006                  1.4650468949717272E+001                 -9.8999999999999986E+001                  2.2940326365493069E-031                  9.9800573083340305E-001                  3.5422119149861250E-005                  2.9697728541487572E-005                  1.5075309063549520E-004                  4.8003173860776410E-005                  9.5182462959034604E-005                  6.4498076747308115E-075                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.2927572026254960E-004                  0.0000000000000000E+000                 -1.5159277048855482E+000                  1.0298572702206507E-005                  1.0000000000000000E-050                 -5.0000000000000000E+001                  8.3478577253669264E+003                  3.9215750386667034E+000                  3.5030059049613794E+051                 -5.0000000000000000E+001 
                 5.9310515648110442E+000                 -4.9318630745509022E+000                  9.2917830410952025E+000                  6.6706052828463726E+005                  0.0000000000000000E+000                                        1                  1.5246848788910052E+007                 -1.3894383465409316E+001                  1.3349598909539599E+000                  8.3994355805977605E-001                  4.4156658503316006E+014                  1.7004570456044586E+009                  7.4428193599928770E+009                  1.3890378202952078E+000                  1.3516035309697603E+000                  3.1735335130029069E-001                  3.0480136817539578E+000                  2.3428499143682610E-001                  1.4650800628154528E+001                  6.4425893536026306E+000                  1.7611407688238334E+001                  3.0346091537579141E-010                  1.6422899978901580E-003                  1.5952698688965200E-005                  1.4650800987449816E+001                 -9.8999999999999986E+001                  2.2940326365492587E-031                  9.9800573083340305E-001                  3.5422119149861250E-005                  2.9697728541487572E-005                  1.5075309063549520E-004                  4.8003173860776410E-005                  9.5182462959034604E-005                  6.6189430297358654E-075                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.2663310344650131E-004                  0.0000000000000000E+000                 -1.5165460944647990E+000                  1.5922275898176803E-005                  1.0000000000000000E-050                 -5.0000000000000000E+001                  8.3407009727889526E+003                  3.9212025513357465E+000                  3.5030059042167053E+051                 -5.0000000000000000E+001 
                 5.9313576632235181E+000                 -4.9313586754980978E+000                  9.2928761454673356E+000                  6.6706048867402400E+005                  0.0000000000000000E+000                                        1                  1.5256973884886567E+007                 -1.3894296034398494E+001                  1.3349597122693067E+000                  8.3993217377146445E-001                  4.4219177570394394E+014                  1.7019882301370523E+009                  7.4541605385364895E+009                  1.3889991652837295E+000                  1.3515871520921128E+000                  3.1714705049833181E-001                  3.0486323202274033E+000                  2.3423610552255861E-001                  1.4651401396597427E+001                  6.4425679424292968E+000                  1.7611407688049660E+001                  5.0356632294292302E-010                  1.6422899981320730E-003                  2.2569607555455171E-005                  1.4651401755667194E+001                 -9.8999999999999986E+001                  2.2940326365491611E-031                  9.9800573083340305E-001                  3.5422119149861243E-005                  2.9697728541487572E-005                  1.5075309063549520E-004                  4.8003173860776410E-005                  9.5182462959034618E-005                  6.8302020409920313E-075                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.2186180855212147E-004                  0.0000000000000000E+000                 -1.5176670884327081E+000                  2.5034902172399684E-005                  1.0000000000000000E-050                 -5.0000000000000000E+001                  8.3320252690843881E+003                  3.9207505783913192E+000                  3.5030059030624781E+051                 -5.0000000000000000E+001 
                 5.9318339519292920E+000                 -4.9305754587026733E+000                  9.2945766688336544E+000                  6.6706045374895225E+005                  0.0000000000000000E+000                                        1                  1.5272763806034641E+007                 -1.3894163507191804E+001                  1.3349594350248091E+000                  8.3992210199147066E-001                  4.4316781216286038E+014                  1.7043796905917048E+009                  7.4718903541387672E+009                  1.3889389062429227E+000                  1.3515616240955293E+000                  3.1682537847332859E-001                  3.0495969242653316E+000                  2.3416051162383111E-001                  1.4651932175119565E+001                  6.4425494380315005E+000                  1.7611407687755225E+001                  6.8080254107381424E-010                  1.6422899984465077E-003                  3.6582398707110767E-005                  1.4651932533988605E+001                 -9.8999999999999986E+001                  2.2940326365489557E-031                  9.9800573083340305E-001                  3.5422119149861250E-005                  2.9697728541487572E-005                  1.5075309063549520E-004                  4.8003173860776410E-005                  9.5182462959034618E-005                  7.1726053548009853E-075                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.1767075991997752E-004                  0.0000000000000000E+000                 -1.5186565530797871E+000                  3.9076199558669994E-005                  1.0000000000000000E-050                 -5.0000000000000000E+001                  8.3185458979602045E+003                  3.9200474171941613E+000                  3.5030059016582950E+051                 -5.0000000000000000E+001 
                 5.9327850526418011E+000                 -4.9290063974101992E+000                  9.2979746644050376E+000                  6.6706037319939549E+005                  0.0000000000000000E+000                                        1                  1.5304297059193034E+007                 -1.3893886681260216E+001                  1.3349588849022556E+000                  8.3989875068959474E-001                  4.4511997341792519E+014                  1.7091470482679043E+009                  7.5072955728194294E+009                  1.3888191999831943E+000                  1.3515109313464342E+000                  3.1618607026814888E-001                  3.0515140241896201E+000                  2.3401189794921867E-001                  1.4652984665823453E+001                  6.4423311242409875E+000                  1.7611407687163481E+001                  1.0924479509262087E-009                  1.6422899995368145E-003                  5.8076590010000062E-005                  1.4652985024370079E+001                 -9.8999999999999986E+001                  2.2940326365482984E-031                  9.9800573083340305E-001                  3.5422119149861250E-005                  2.9697728541487572E-005                  1.5075309063549520E-004                  4.8003173860776410E-005                  9.5182462959034618E-005                  7.9095059705373403E-075                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.0805959889487533E-004                  0.0000000000000000E+000                 -1.5209428231944435E+000                  6.7460896652041103E-005                  1.0000000000000000E-050                 -5.0000000000000000E+001                  8.2916877225607768E+003                  3.9186429375459815E+000                  3.5030058994669709E+051                 -5.0000000000000000E+001 
                 5.9348501002218494E+000                 -4.9256058125080324E+000                  9.3053533368661121E+000                  6.6706022426615842E+005                  0.0000000000000000E+000                                        1                  1.5373112623992054E+007                 -1.3893294870326063E+001                  1.3349577015869276E+000                  8.3985512141990104E-001                  4.4939632342107381E+014                  1.7195699177390804E+009                  7.5849843786869631E+009                  1.3885594176804759E+000                  1.3514010102060694E+000                  3.1479730573215303E-001                  3.0556785169760290E+000                  2.3369789042544606E-001                  1.4655183664089513E+001                  6.4421649446419309E+000                  1.7611407685862797E+001                  1.8642830943994366E-009                  1.6422900029157736E-003                  1.0772369693835570E-004                  1.4655184021828047E+001                 -9.8999999999999986E+001                  2.2940326365458689E-031                  9.9800573083340305E-001                  3.5422119149861263E-005                  2.9697728541487572E-005                  1.5075309063549520E-004                  4.8003173860776410E-005                  9.5182462959034604E-005                  9.7847060351025337E-075                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.9048654939346736E-004                  0.0000000000000000E+000                 -1.5251863180376581E+000                  1.1289716346658127E-004                  1.0000000000000000E-050                 -5.0000000000000000E+001                  8.2336786535011252E+003                  3.9155939132159263E+000                  3.5030058950632931E+051                 -5.0000000000000000E+001 
                 5.9380258784346900E+000                 -4.9202038324129989E+000                  9.3167622384495914E+000                  6.6705988164384093E+005                  0.0000000000000000E+000                                        1                  1.5477670319778532E+007                 -1.3891975389426465E+001                  1.3349559116549912E+000                  8.3975249263187601E-001                  4.5592020245792462E+014                  1.7350793943839197E+009                  7.7013045916098518E+009                  1.3881778572345533E+000                  1.3512398455047374E+000                  3.1275324659206899E-001                  3.0618079885175646E+000                  2.3324751627180632E-001                  1.4660430460161086E+001                  6.4419607599255402E+000                  1.7611407683808856E+001                  3.6938182492989432E-009                  1.6422900176388000E-003                  1.7289119656801162E-004                  1.4660430815768118E+001                 -9.8999999999999986E+001                  2.2940326365385226E-031                  9.9800573083340305E-001                  3.5422119149861290E-005                  2.9697728541487572E-005                  1.5075309063549520E-004                  4.8003173860776410E-005                  9.5182462959034604E-005                  1.3589743933255242E-074                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.5107666794658518E-004                  0.0000000000000000E+000                 -1.5350156576977969E+000                  1.8926132352368828E-004                  1.0000000000000000E-050                 -5.0000000000000000E+001                  8.1450439051174271E+003                  3.9108934296756925E+000                  3.5030058853847161E+051                 -5.0000000000000000E+001 
                 5.9425611560511911E+000                 -4.9124197254871884E+000                  9.3330912364050587E+000                  6.6705947452049493E+005                  0.0000000000000000E+000                                        1                  1.5627676109072357E+007                 -1.3889872564744094E+001                  1.3349533511465095E+000                  8.3962623316763219E-001                  4.6535890761453719E+014                  1.7572197302845230E+009                  7.8688366885994825E+009                  1.3876432948423951E+000                  1.3510147817565086E+000                  3.0988101572421828E-001                  3.0704210117251058E+000                  2.3265022319960460E-001                  1.4666402292250082E+001                  6.4414197839542000E+000                  1.7611407680775834E+001                  5.9721612468847921E-009                  1.6422900483835316E-003                  2.8716906529597613E-004                  1.4666402645348301E+001                 -9.8999999999999986E+001                  2.2940326365216877E-031                  9.9800573083340305E-001                  3.5422119149861351E-005                  2.9697728541487572E-005                  1.5075309063549520E-004                  4.8003173860776410E-005                  9.5182462959034604E-005                  2.1754354745437827E-074                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.0599132201919054E-004                  0.0000000000000000E+000                 -1.5468348170747923E+000                  3.0186346800584331E-004                  1.0000000000000000E-050                 -5.0000000000000000E+001                  8.0200319335161948E+003                  3.9041760975263404E+000                  3.5030058701048083E+051                 -5.0000000000000000E+001 
                 5.9496296343246549E+000                 -4.8999637761716146E+000                  9.3586729351097464E+000                  6.6705884087033453E+005                  0.0000000000000000E+000                                        1                  1.5861080821846269E+007                 -1.3885717663523913E+001                  1.3349492994222960E+000                  8.3941997583917027E-001                  4.8021657452087256E+014                  1.7910602912983184E+009                  8.1282667571629257E+009                  1.3868479374704403E+000                  1.3506821542467742E+000                  3.0559185534835576E-001                  3.0832835114239856E+000                  2.3181769472511024E-001                  1.4675839247344975E+001                  6.4405492447980306E+000                  1.7611407675794638E+001                  9.7598707472627787E-009                  1.6422901273415215E-003                  4.4553012372315062E-004                  1.4675839596172487E+001                 -9.8999999999999986E+001                  2.2940326364793878E-031                  9.9800573083340294E-001                  3.5422119149861521E-005                  2.9697728541487572E-005                  1.5075309063549520E-004                  4.8003173860776410E-005                  9.5182462959034604E-005                  4.5372282143369401E-074                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.3925737887314000E-004                  0.0000000000000000E+000                 -1.5656021659420829E+000                  4.4309882941074636E-004                  1.0000000000000000E-050                 -5.0000000000000000E+001                  7.8286195518601844E+003                  3.8936851881289014E+000                  3.5030058475479435E+051                 -5.0000000000000000E+001 
                 5.9569415475373440E+000                 -4.8857078677234318E+000                  9.3855881677292299E+000                  6.6705790808900038E+005                  0.0000000000000000E+000                                        1                  1.6089931024225244E+007                 -1.3878029721759450E+001                  1.3349450539200194E+000                  8.3909303649974287E-001                  4.9489819820185569E+014                  1.8213310259537351E+009                  8.3637885765489178E+009                  1.3861567023506951E+000                  1.3503960027078130E+000                  3.0185473071179925E-001                  3.0944911262185903E+000                  2.3110300603890344E-001                  1.4688577137736893E+001                  6.4383006682226736E+000                  1.7611407670237423E+001                  1.5934551895048733E-008                  1.6422903212055032E-003                  5.9659727287482303E-004                  1.4688577479756459E+001                 -9.8999999999999986E+001                  2.2940326364097599E-031                  9.9800573083340305E-001                  3.5422119149861785E-005                  2.9697728541487572E-005                  1.5075309063549520E-004                  4.8003173860776410E-005                  9.5182462959034604E-005                  9.7299097869226858E-074                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.4866709289028467E-004                  0.0000000000000000E+000                 -1.5939890667113641E+000                  6.0826142069691092E-004                  1.0000000000000000E-050                 -5.0000000000000000E+001                  7.6338177193851698E+003                  3.8827417856353086E+000                  3.5030058105205823E+051                 -5.0000000000000000E+001 
                 5.9634051704185191E+000                 -4.8729776650733232E+000                  9.4094430180230528E+000                  6.6705724263660831E+005                  0.0000000000000000E+000                                        1                  1.6293823002755377E+007                 -1.3870678074424013E+001                  1.3349412030293784E+000                  8.3883975611174999E-001                  5.0816645739665031E+014                  1.8480216167725749E+009                  8.5741688419254932E+009                  1.3855598992980749E+000                  1.3501511376214721E+000                  2.9863463414582109E-001                  3.1041487807508221E+000                  2.3051546473301757E-001                  1.4696715298058052E+001                  6.4357472879728803E+000                  1.7611407665023251E+001                  2.0874296813277365E-008                  1.6422905246758215E-003                  7.8265682888993549E-004                  1.4696715635000622E+001                 -9.8999999999999986E+001                  2.2940326363303978E-031                  9.9800573083340305E-001                  3.5422119149862090E-005                  2.9697728541487569E-005                  1.5075309063549520E-004                  4.8003173860776410E-005                  9.5182462959034618E-005                  1.9070321174264480E-073                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.8887354056389081E-004                  0.0000000000000000E+000                 -1.6149889795435577E+000                  7.5878914789534175E-004                  1.0000000000000000E-050                 -5.0000000000000000E+001                  7.4655095358562348E+003                  3.8730594545337604E+000                  3.5030057692436014E+051                 -5.0000000000000000E+001 
                 5.9682179580646775E+000                 -4.8628248158865954E+000                  9.4274189777719837E+000                  6.6705657253524964E+005                  0.0000000000000000E+000                                        1                  1.6438968176467756E+007                 -1.3863520808946912E+001                  1.3349383000200645E+000                  8.3856629122839577E-001                  5.1765908540575212E+014                  1.8654110246487198E+009                  8.7126095012863216E+009                  1.3851771405004358E+000                  1.3499953021592512E+000                  2.9657330911871732E-001                  3.1103311975452814E+000                  2.3012112653658442E-001                  1.4704227044700872E+001                  6.4324546116423980E+000                  1.7611407660906792E+001                  2.6362902277975958E-008                  1.6422907938284806E-003                  8.9711329740522268E-004                  1.4704227376322212E+001                 -9.8999999999999986E+001                  2.2940326362572811E-031                  9.9800573083340305E-001                  3.5422119149862368E-005                  2.9697728541487569E-005                  1.5075309063549520E-004                  4.8003173860776410E-005                  9.5182462959034604E-005                  3.1478152703194254E-073                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.3230843255916470E-004                  0.0000000000000000E+000                 -1.6369183269503442E+000                  8.9745377835885837E-004                  1.0000000000000000E-050                 -5.0000000000000000E+001                  7.3418449553645532E+003                  3.8658052088603396E+000                  3.5030057305379550E+051                 -5.0000000000000000E+001 
                 5.9713290998525297E+000                 -4.8563729701049123E+000                  9.4390110774334701E+000                  6.6705626266097359E+005                  0.0000000000000000E+000                                        1                  1.6535009638752846E+007                 -1.3859165522554076E+001                  1.3349364004059074E+000                  8.3843265335587747E-001                  5.2400448224236850E+014                  1.8772009897412293E+009                  8.8070854240376740E+009                  1.3849205427937743E+000                  1.3498911984573463E+000                  2.9519186456341479E-001                  3.1144744987192072E+000                  2.2986045722393447E-001                  1.4707205626994163E+001                  6.4303905395957868E+000                  1.7611407658162491E+001                  2.9107205010325278E-008                  1.6422909430064382E-003                  1.0125911552788579E-003                  1.4707205956295102E+001                 -9.8999999999999986E+001                  2.2940326362054226E-031                  9.9800573083340305E-001                  3.5422119149862571E-005                  2.9697728541487569E-005                  1.5075309063549520E-004                  4.8003173860776410E-005                  9.5182462959034604E-005                  4.3477966335599585E-073                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.0721800549772666E-004                  0.0000000000000000E+000                 -1.6474026690167194E+000                  1.0022246232789230E-003                  1.0000000000000000E-050                 -5.0000000000000000E+001                  7.2631201612052901E+003                  3.8611232291974291E+000                  3.5030057000007808E+051                 -5.0000000000000000E+001 
