                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                 7.2911124947549242E+000                 -7.1104614846967829E-001                  1.4781783853112575E+001                  6.6345076688751963E+005                  0.0000000000000000E+000                                        8                  6.6061216561353289E+007                 -8.8756279799891864E+000                  1.3348680799123531E+000                  6.0599843819701682E-001                  7.5293878184377680E+015                  1.2562443274892895E+009                  4.5050844592903633E+009                  1.4030176449012577E+000                  1.3579884865934897E+000                  3.9123196097627433E-001                  2.8263140883385898E+000                  1.9356305693916542E-001                  2.0000000000000000E+000                 -7.1931946598670189E+000                  1.7604435104160416E+001                  6.8456118227160781E-003                  1.6431691481509647E-003                  2.1206133739286022E-004                  5.6561142731912923E+000                 -9.8999999999999986E+001                  1.1156003110556392E-031                  9.9800573160491612E-001                  3.5426740792440197E-005                  2.9697718625492420E-005                  1.5075309063549620E-004                  4.8003173860776478E-005                  9.5182462959034889E-005                  1.1257959600396350E-033                  2.3509030509055002E-032                  1.3472929749235795E-041                  4.3886872437962436E-005                 -7.5058306690562475E-014                 -2.1788326838465042E+000                  2.1125425851021483E-004                  2.8301735691251245E+015                  1.5451813070789930E+001                  5.8577147268139811E+001                  1.7677282175355278E+000                  3.4730408634022931E+051                 -2.1804048496534687E+000 
                 7.2947552754579510E+000                 -6.9907242988077778E-001                  1.4796764045746452E+001                  6.6340734280022641E+005                  0.0000000000000000E+000                                        8                  6.6292881906894200E+007                 -8.8607448632282022E+000                  1.3348680799033397E+000                  6.0432456790161004E-001                  7.5789313796712880E+015                  1.2534551470297725E+009                  4.4888541811461477E+009                  1.4031281020458182E+000                  1.3580426986527061E+000                  3.9180547609232719E-001                  2.8245949825566088E+000                  1.9347514331632995E-001                  2.0000000000000000E+000                 -7.1949967175090679E+000                  1.7604244076491323E+001                  7.0995571401460860E-003                  1.6431827523835042E-003                  2.1345990071150540E-004                  5.6441792767968337E+000                 -9.8999999999999986E+001                  1.0782514374726928E-031                  9.9800573163182238E-001                  3.5426901970166358E-005                  2.9697718280282204E-005                  1.5075309063549599E-004                  4.8003173860776491E-005                  9.5182462959034550E-005                  1.2892908802664385E-033                  2.6878735676243425E-032                  2.0901243995704978E-041                  4.4042290618299855E-005                 -8.0237152445970613E-014                 -2.1780650508331387E+000                  2.1418134757299705E-004                  2.8041220161354985E+015                  1.5447796907219525E+001                  5.7790941528548657E+001                  1.7618597700386673E+000                  3.4723047910953864E+051                 -2.1795926291260903E+000 
                 7.2983582948729300E+000                 -6.8755180069852273E-001                  1.4811454788271599E+001                  6.6339330702680675E+005                  0.0000000000000000E+000                                        8                  6.6537047797563799E+007                 -8.8469832538212110E+000                  1.3348680798988068E+000                  6.0349969647005830E-001                  7.6325310045683240E+015                  1.2515613997912624E+009                  4.4778463372994556E+009                  1.4032028763620958E+000                  1.3580792580918915E+000                  3.9219613144543958E-001                  2.8234241112595608E+000                  1.9338520853964825E-001                  2.0000000000000000E+000                 -7.1958750775252893E+000                  1.7604051337622746E+001                  7.2276671609031642E-003                  1.6431895368647176E-003                  2.1702279182692202E-004                  5.6383077596482529E+000                 -9.8999999999999986E+001                  1.0597385534653900E-031                  9.9800573164535267E-001                  3.5426983021933822E-005                  2.9697718106724618E-005                  1.5075309063549634E-004                  4.8003173860776451E-005                  9.5182462959034862E-005                  1.4870090671689967E-033                  3.1158229091189816E-032                  3.2192577024313269E-041                  4.4111411367216229E-005                 -8.3946428124955085E-014                 -2.1777245232623712E+000                  2.1626640280876801E-004                  2.7915489881061555E+015                  1.5445845253564741E+001                  5.7027305453544727E+001                  1.7560828516078479E+000                  3.4715684087709121E+051                 -2.1792073067764486E+000 
                 7.3018677671364181E+000                 -6.7601984066581777E-001                  1.4825886556616501E+001                  6.6336565603584622E+005                  0.0000000000000000E+000                                        8                  6.6762069676873311E+007                 -8.8329906352661371E+000                  1.3348680798897004E+000                  6.0187939210785601E-001                  7.6809632042923950E+015                  1.2488937607300377E+009                  4.4623705196722898E+009                  1.4033085979188216E+000                  1.3581311337795468E+000                  3.9274715617303591E-001                  2.8217713228922539E+000                  1.9329720702957967E-001                  2.0000000000000000E+000                 -7.1975872890293804E+000                  1.7603857735397796E+001                  7.4850348772960359E-003                  1.6432030281160765E-003                  2.1831650301993704E-004                  5.6268166470538796E+000                 -9.8999999999999986E+001                  1.0228276462322458E-031                  9.9800573167253626E-001                  3.5427145862307568E-005                  2.9697717758072460E-005                  1.5075309063549615E-004                  4.8003173860776342E-005                  9.5182462959034591E-005                  1.6931641230539717E-033                  3.5331614216675586E-032                  4.9058504589058567E-041                  4.4259831922009225E-005                 -8.6129008697241297E-014                 -2.1769951198257371E+000                  2.1899026191826043E-004                  2.7668334057475450E+015                  1.5441983010553065E+001                  5.6289681607093058E+001                  1.7504287921550745E+000                  3.4708274538459772E+051                 -2.1784384190305182E+000 
                 7.3053415880278250E+000                 -6.6490497760365552E-001                  1.4840054685428553E+001                  6.6335496643383673E+005                  0.0000000000000000E+000                                        8                  6.6998863304891765E+007                 -8.8197835522745258E+000                  1.3348680798851009E+000                  6.0108019559443016E-001                  7.7332272002884120E+015                  1.2470554908056235E+009                  4.4517119540316181E+009                  1.4033797516346009E+000                  1.3581665123670832E+000                  3.9312809218994393E-001                  2.8206277902899046E+000                  1.9320777079126225E-001                  2.0000000000000000E+000                 -7.1984234972487799E+000                  1.7603662398644666E+001                  7.6148716108070122E-003                  1.6432097595333475E-003                  2.2163147783500623E-004                  5.6211598008739063E+000                 -9.8999999999999986E+001                  1.0044766850118686E-031                  9.9800573168626616E-001                  3.5427228108786761E-005                  2.9697717582020236E-005                  1.5075309063549656E-004                  4.8003173860776546E-005                  9.5182462959034875E-005                  1.9414765297964495E-033                  4.0656525710675515E-032                  7.4275865819399921E-041                  4.4329193807900150E-005                 -8.8469764474494160E-014                 -2.1766550834588827E+000                  2.2090851943074648E-004                  2.7547014160750825E+015                  1.5440074532270049E+001                  5.5572223713954003E+001                  1.7448577753597392E+000                  3.4700871649607195E+051                 -2.1780585658573952E+000 
                 7.3087241539210730E+000                 -6.5379312925495914E-001                  1.4853964708055308E+001                  6.6333735499123903E+005                  0.0000000000000000E+000                                        8                  6.7217449266601488E+007                 -8.8060995087673781E+000                  1.3348680798758505E+000                  5.9950902636127068E-001                  7.7805631491483550E+015                  1.2445025609722967E+009                  4.4369382010213060E+009                  1.4034799696898475E+000                  1.3582164997514143E+000                  3.9365782861320203E-001                  2.8190374056862915E+000                  1.9312061738795328E-001                  2.0000000000000000E+000                 -7.2000540481502862E+000                  1.7603466480238673E+001                  7.8757083835557674E-003                  1.6432231477582766E-003                  2.2277756429166866E-004                  5.6100765734690725E+000                 -9.8999999999999986E+001                  9.6787428843152244E-032                  9.9800573171387896E-001                  3.5427393520263696E-005                  2.9697717227994342E-005                  1.5075309063549585E-004                  4.8003173860776539E-005                  9.5182462959034781E-005                  2.1986877526838065E-033                  4.5728123081059489E-032                  1.1129698341350242E-040                  4.4467511755823407E-005                 -8.8875043182340754E-014                 -2.1759785857247014E+000                  2.2339597420427605E-004                  2.7314214655144335E+015                  1.5436388718090928E+001                  5.4879204757851468E+001                  1.7394078094811440E+000                  3.4693422228599392E+051                 -2.1773470438250619E+000 
                 7.3120749309998523E+000                 -6.4306476361811282E-001                  1.4867634344430030E+001                  6.6333569441311853E+005                  0.0000000000000000E+000                                        8                  6.7447121575759649E+007                 -8.7929593169206548E+000                  1.3348680798711967E+000                  5.9873685996056480E-001                  7.8315318816180980E+015                  1.2427169390033240E+009                  4.4266128118151770E+009                  1.4035494947684146E+000                  1.3582515271723523E+000                  3.9402941868186631E-001                  2.8179215681249405E+000                  1.9303245905728575E-001                  2.0000000000000000E+000                 -7.2008473970411897E+000                  1.7603268806381603E+001                  8.0067084227935549E-003                  1.6432297989352441E-003                  2.2577886715228584E-004                  5.6046388080244354E+000                 -9.8999999999999986E+001                  9.4977043795522358E-032                  9.9800573172777096E-001                  3.5427476739713067E-005                  2.9697717049928444E-005                  1.5075309063549612E-004                  4.8003173860776458E-005                  9.5182462959034713E-005                  2.5074561553682508E-033                  5.2252967485243872E-032                  1.6579635622823140E-040                  4.4524899803908476E-005                 -8.8982950965396139E-014                 -2.1756985245865827E+000                  2.2536763372565455E-004                  2.7204433932502035E+015                  1.5434639693574088E+001                  5.4204197910564424E+001                  1.7340329223095046E+000                  3.4685989574084395E+051                 -2.1770296257186073E+000 
                 7.3164440117693132E+000                 -6.2889171707836622E-001                  1.4885530883276008E+001                  6.6334045991645521E+005                  0.0000000000000000E+000                                        8                  6.7739579230588362E+007                 -8.7750836693949736E+000                  1.3348680798617831E+000                  5.9721086208268392E-001                  7.8959809479037710E+015                  1.2399060231350608E+009                  4.4103910795516462E+009                  1.4036615027278831E+000                  1.3583074901462127E+000                  3.9461538821409747E-001                  2.8161627963693161E+000                  1.9291705257158825E-001                  2.0000000000000000E+000                 -7.2024715837976627E+000                  1.7603003274352421E+001                  8.2710560976901101E-003                  1.6432430867329537E-003                  2.2754645631230759E-004                  5.5940628622861883E+000                 -9.8999999999999986E+001                  9.1347724237484778E-032                  9.9800573175587171E-001                  3.5427645073705652E-005                  2.9697716689791061E-005                  1.5075309063549675E-004                  4.8003173860776424E-005                  9.5182462959034903E-005                  2.9580865098731046E-033                  6.1291474753829340E-032                  2.7870594915495529E-040                  4.4631202156972091E-005                 -9.6173658676450151E-014                 -2.1751807075644094E+000                  2.2776637199466252E-004                  2.6996810508361930E+015                  1.5431312458216762E+001                  5.3334497081310040E+001                  1.7270082042577111E+000                  3.4678509597469804E+051                 -2.1764690375521214E+000 
                 7.3207206520093262E+000                 -6.1501766967901794E-001                  1.4903049548262507E+001                  6.6335458174826170E+005                  0.0000000000000000E+000                                        8                  6.8027098649066567E+007                 -8.7574063059209699E+000                  1.3348680798500019E+000                  5.9571306153593795E-001                  7.9595810239029170E+015                  1.2371588566995037E+009                  4.3945668287484808E+009                  1.4037723358349545E+000                  1.3583623760641932E+000                  3.9518969055084402E-001                  2.8144395412839982E+000                  1.9280316083932089E-001                  2.0000000000000000E+000                 -7.2039786262405592E+000                  1.7602735362993084E+001                  8.5377724811556404E-003                  1.6432563106247178E-003                  2.2997377893690680E-004                  5.5835728623319172E+000                 -9.8999999999999986E+001                  8.6904733864315042E-032                  9.9800573179103935E-001                  3.5427855742078460E-005                  2.9697716239234101E-005                  1.5075309063549656E-004                  4.8003173860776512E-005                  9.5182462959034753E-005                  3.4624095340124526E-033                  7.0780688687912436E-032                  4.6282182099414029E-040                  4.4727703778472193E-005                 -1.0346678780074150E-013                 -2.1747116984872936E+000                  2.2969497841281226E-004                  2.6799514404349015E+015                  1.5428126924871240E+001                  5.2496645399835437E+001                  1.7201315523414269E+000                  3.4668512939453063E+051                 -2.1759616040528367E+000 
                 7.3238568535832433E+000                 -6.0472233675755427E-001                  1.4915945054588354E+001                  6.6336886720396881E+005                  0.0000000000000000E+000                                        8                  6.8233336386541724E+007                 -8.7442117499380192E+000                  1.3348680798428814E+000                  5.9424204173944806E-001                  8.0048785648706310E+015                  1.2348307712597973E+009                  4.3811793910294657E+009                  1.4038665409584854E+000                  1.3584086643238980E+000                  3.9567764742206046E-001                  2.8129754141525201E+000                  1.9271962199824236E-001                  2.0000000000000000E+000                 -7.2053808408863853E+000                  1.7602533233165701E+001                  8.8068788163672331E-003                  1.6432694758970786E-003                  2.3156468630664416E-004                  5.5731763720882199E+000                 -9.8999999999999986E+001                  8.4278580390752734E-032                  9.9800573181229468E-001                  3.5427983069627755E-005                  2.9697715967010603E-005                  1.5075309063549664E-004                  4.8003173860776458E-005                  9.5182462959034753E-005                  3.8981881236635024E-033                  7.9121926884243781E-032                  6.7120746026965807E-040                  4.4827269016865916E-005                 -9.8079243572801093E-014                 -2.1742288592870804E+000                  2.3186030648560010E-004                  2.6605200666639245E+015                  1.5424966538888835E+001                  5.1889304990979007E+001                  1.7150778537628766E+000                  3.4658477153438654E+051                 -2.1754499401801710E+000 
                 7.3269680112539222E+000                 -5.9475001380832204E-001                  1.4928642926115357E+001                  6.6337699781519489E+005                  0.0000000000000000E+000                                        8                  6.8449401099386171E+007                 -8.7318318846020286E+000                  1.3348680798381596E+000                  5.9351788936661021E-001                  8.0534314708550600E+015                  1.2331578232098591E+009                  4.3715640134231806E+009                  1.4039329446487701E+000                  1.3584411027804371E+000                  3.9602938765922746E-001                  2.8119198584335732E+000                  1.9263564616293788E-001                  2.0000000000000000E+000                 -7.2060975868526675E+000                  1.7602329292152856E+001                  8.9420321359204111E-003                  1.6432760209945895E-003                  2.3404244038448832E-004                  5.5681321313147460E+000                 -9.8999999999999986E+001                  8.2561035686676000E-032                  9.9800573182638941E-001                  3.5428067502515202E-005                  2.9697715786533185E-005                  1.5075309063549623E-004                  4.8003173860776552E-005                  9.5182462959034699E-005                  4.3992699230814305E-033                  8.9169044391528530E-032                  9.6885023013058402E-040                  4.4873506937426135E-005                 -9.3361520027259736E-014                 -2.1740049941608435E+000                  2.3367722004285279E-004                  2.6509603536258705E+015                  1.5423403232700929E+001                  5.1296197882520637E+001                  1.7100851760312135E+000                  3.4650942788489359E+051                 -2.1751952529959917E+000 
                 7.3310339132954079E+000                 -5.8156107727266504E-001                  1.4945300041578637E+001                  6.6339211976093170E+005                  0.0000000000000000E+000                                        8                  6.8725762828557223E+007                 -8.7155650693552413E+000                  1.3348680798286816E+000                  5.9208457727465180E-001                  8.1151555010702410E+015                  1.2305663683753250E+009                  4.3566917499272165E+009                  1.4040352752372338E+000                  1.3584910218824187E+000                  3.9657539924429697E-001                  2.8102814699621206E+000                  1.9252617657620091E-001                  2.0000000000000000E+000                 -7.2075658612001199E+000                  1.7602055341605244E+001                  9.2147608420609130E-003                  1.6432891058125747E-003                  2.3542451952006301E-004                  5.5582961222289198E+000                 -9.8999999999999986E+001                  7.9150137646021286E-032                  9.9800573185468189E-001                  3.5428236984892424E-005                  2.9697715424319254E-005                  1.5075309063549653E-004                  4.8003173860776600E-005                  9.5182462959034821E-005                  5.1247098163506584E-033                  1.0266276074021742E-031                  1.5649083024538628E-039                  4.4969339285481887E-005                 -1.0241012449643994E-013                 -2.1735417466405038E+000                  2.3538824514699895E-004                  2.6322158777536295E+015                  1.5420321504498332E+001                  5.0529661539603858E+001                  1.7035463892341798E+000                  3.4643359397851545E+051                 -2.1746992667328482E+000 
                 7.3340245488616356E+000                 -5.7175073361861306E-001                  1.4957595667958604E+001                  6.6341659395861719E+005                  0.0000000000000000E+000                                        8                  6.8924810857359573E+007                 -8.7035317042674922E+000                  1.3348680798192205E+000                  5.9067492780892650E-001                  8.1593332372426660E+015                  1.2283783702505493E+009                  4.3441569838471165E+009                  1.4041217426973784E+000                  1.3585333837639850E+000                  3.9703745961596187E-001                  2.8088952901617938E+000                  1.9244595285365260E-001                  2.0000000000000000E+000                 -7.2088785329796679E+000                  1.7601848345945172E+001                  9.4899332311411139E-003                  1.6433021381542126E-003                  2.3669776150729419E-004                  5.5484157170424204E+000                 -9.8999999999999986E+001                  7.5820905612209304E-032                  9.9800573188292396E-001                  3.5428406167753612E-005                  2.9697715062868669E-005                  1.5075309063549620E-004                  4.8003173860776430E-005                  9.5182462959034699E-005                  5.7119049219208894E-033                  1.1251981073435509E-031                  2.2263390674846204E-039                  4.5055077132625890E-005                 -1.0893780775111186E-013                 -2.1731281312387671E+000                  2.3692806984654057E-004                  2.6144968549918695E+015                  1.5417388123748195E+001                  4.9972035897432171E+001                  1.6987270432790729E+000                  3.4633221816386159E+051                 -2.1742626217852314E+000 
                 7.3369937541546886E+000                 -5.6222705093568848E-001                  1.4969717288186644E+001                  6.6343520654783631E+005                  0.0000000000000000E+000                                        8                  6.9132805424996451E+007                 -8.6921781995021785E+000                  1.3348680798144816E+000                  5.8997718755557160E-001                  8.2065055540316110E+015                  1.2267741822396553E+009                  4.3349739256764288E+009                  1.4041840088761799E+000                  1.3585641196721312E+000                  3.9737713746031667E-001                  2.8078765262234047E+000                  1.9236548702765441E-001                  2.0000000000000000E+000                 -7.2095515610352914E+000                  1.7601639495689003E+001                  9.6287521622118368E-003                  1.6433086467407664E-003                  2.3866191438338781E-004                  5.5435905337670057E+000                 -9.8999999999999986E+001                  7.4193132838999660E-032                  9.9800573189706954E-001                  3.5428490904231436E-005                  2.9697714881899768E-005                  1.5075309063549664E-004                  4.8003173860776485E-005                  9.5182462959034631E-005                  6.4055245261498693E-033                  1.2575996486972755E-031                  3.1545281364643581E-039                  4.5086237679589553E-005                 -1.0615436610071332E-013                 -2.1729780019205225E+000                  2.3852559980820881E-004                  2.6062279161863900E+015                  1.5416012392348902E+001                  4.9426612002751661E+001                  1.6939608423252839E+000                  3.4625598280569308E+051                 -2.1740854935786165E+000 
                 7.3418472153450498E+000                 -5.4665388561874506E-001                  1.4989533271895509E+001                  6.6347909828309994E+005                  0.0000000000000000E+000                                        8                  6.9473887607123882E+007                 -8.6736500448229474E+000                  1.3348680798018595E+000                  5.8860102998345198E-001                  8.2841117498746570E+015                  1.2241409921972728E+009                  4.3199253572189121E+009                  1.4042875512933186E+000                  1.3586157927524460E+000                  3.9793568870312723E-001                  2.8062017487571023E+000                  1.9223403406160752E-001                  2.0000000000000000E+000                 -7.2109768023229943E+000                  1.7601288706135307E+001                  9.9076337434714761E-003                  1.6433215981265569E-003                  2.4021710932077363E-004                  5.5343120350531212E+000                 -9.8999999999999986E+001                  6.9939651013450297E-032                  9.9800573193474784E-001                  3.5428716612867049E-005                  2.9697714400002348E-005                  1.5075309063549664E-004                  4.8003173860776505E-005                  9.5182462959034672E-005                  7.6625312479823039E-033                  1.4725421057115083E-031                  5.5700907392624807E-039                  4.5134986126092756E-005                 -1.0727153149911777E-013                 -2.1727433433503442E+000                  2.4015627281069832E-004                  2.5908951317999380E+015                  1.5413449834984162E+001                  4.8547742004948759E+001                  1.6861690353234133E+000                  3.4617924571991094E+051                 -2.1738132822404883E+000 
                 7.3470401239120342E+000                 -5.2971901129505128E-001                  1.5010843827456858E+001                  6.6354822744711069E+005                  0.0000000000000000E+000                                        8                  6.9828319803080454E+007                 -8.6529748027150806E+000                  1.3348680797878201E+000                  5.8657701313230137E-001                  8.3639882327899790E+015                  1.2206225213972104E+009                  4.2998662617185478E+009                  1.4044308016537093E+000                  1.3586877763025689E+000                  3.9868380913393520E-001                  2.8039582624561845E+000                  1.9209472873561584E-001                  2.0000000000000000E+000                 -7.2129282551687783E+000                  1.7600898808857401E+001                  1.0330331269607475E-002                  1.6433409251851061E-003                  2.4158978041531769E-004                  5.5204741659056564E+000                 -9.8999999999999986E+001                  6.5384837647742556E-032                  9.9800573197665676E-001                  3.5428967665196507E-005                  2.9697713864304458E-005                  1.5075309063549677E-004                  4.8003173860776437E-005                  9.5182462959034523E-005                  9.2722484303923198E-033                  1.7359779003011217E-031                  1.0233018477492310E-038                  4.5204046890509179E-005                 -1.1336465256720176E-013                 -2.1724113416259159E+000                  2.4173898027399243E-004                  2.5688425358250545E+015                  1.5409737483823301E+001                  4.7622019366007486E+001                  1.6778078072998472E+000                  3.4605095596913810E+051                 -2.1734454230658113E+000 
                 7.3516672297860515E+000                 -5.1471308976582730E-001                  1.5029800236327123E+001                  6.6360047647493915E+005                  0.0000000000000000E+000                                        8                  7.0149638319054514E+007                 -8.6343709546071263E+000                  1.3348680797785586E+000                  5.8492216065031566E-001                  8.4370156445842810E+015                  1.2177142793159444E+009                  4.2833125043588319E+009                  1.4045511068686585E+000                  1.3587485311657990E+000                  3.9930452712224757E-001                  2.8020965822169397E+000                  1.9197069676787443E-001                  2.0000000000000000E+000                 -7.2144420560885276E+000                  1.7600539790407627E+001                  1.0687428299282421E-002                  1.6433569723093614E-003                  2.4341003667267380E-004                  5.5090720071626516E+000                 -9.8999999999999986E+001                  6.2486351006462286E-032                  9.9800573200430309E-001                  3.5429133278687317E-005                  2.9697713511109629E-005                  1.5075309063549666E-004                  4.8003173860776471E-005                  9.5182462959034794E-005                  1.1033076456167765E-032                  2.0382331798565871E-031                  1.7568019519629224E-038                  4.5261503474383853E-005                 -1.2117334929792550E-013                 -2.1721355119804837E+000                  2.4308032759565840E-004                  2.5508347456383325E+015                  1.5406682324002933E+001                  4.6812765474336778E+001                  1.6703642979265885E+000                  3.4590934116223290E+051                 -2.1731384461081711E+000 
                 7.3548320791019339E+000                 -5.0429441050999124E-001                  1.5042828908963175E+001                  6.6363763475855428E+005                  0.0000000000000000E+000                                        8                  7.0363234796280637E+007                 -8.6210840264406023E+000                  1.3348680797661683E+000                  5.8329722131776707E-001                  8.4850873916951760E+015                  1.2153304015225873E+009                  4.2697640127130799E+009                  1.4046504882959949E+000                  1.3587983574464517E+000                  3.9981488409995219E-001                  2.8005659299335459E+000                  1.9188677752530972E-001                  2.0000000000000000E+000                 -7.2158571864811494E+000                  1.7600286745950331E+001                  1.1048368169154631E-002                  1.6433729541554005E-003                  2.4424115122009371E-004                  5.4978022497019845E+000                 -9.8999999999999986E+001                  5.8706727003908622E-032                  9.9800573204128917E-001                  3.5429354839757894E-005                  2.9697713038781997E-005                  1.5075309063549680E-004                  4.8003173860776403E-005                  9.5182462959034686E-005                  1.2299043680119926E-032                  2.2045506847446640E-031                  2.5430259071268990E-038                  4.5338797594336414E-005                 -1.2682235597685087E-013                 -2.1717650008726057E+000                  2.4445951156964335E-004                  2.5321990346513040E+015                  1.5403497838886208E+001                  4.6265705812267583E+001                  1.6652591919878634E+000                  3.4577967533319426E+051                 -2.1727480362368379E+000 
                 7.3575306085587515E+000                 -4.9563602672957874E-001                  1.5053848451502949E+001                  6.6365282156406506E+005                  0.0000000000000000E+000                                        8                  7.0556269397174701E+007                 -8.6101930230378496E+000                  1.3348680797611367E+000                  5.8265677310463937E-001                  8.5296238704411300E+015                  1.2138828595457931E+009                  4.2615382636627030E+009                  1.4047102173254937E+000                  1.3588283067902003E+000                  4.0012586028043795E-001                  2.7996334814407264E+000                  1.9181453079934732E-001                  2.0000000000000000E+000                 -7.2164347444563539E+000                  1.7600067722487065E+001                  1.1193517213874045E-002                  1.6433793135960390E-003                  2.4572733223873300E-004                  5.4934168431201984E+000                 -9.8999999999999986E+001                  5.7229825141769923E-032                  9.9800573205630805E-001                  3.5429444809331847E-005                  2.9697712847094467E-005                  1.5075309063549759E-004                  4.8003173860776532E-005                  9.5182462959034699E-005                  1.3600468869551235E-032                  2.4215218521049119E-031                  3.4812407948099072E-038                  4.5366507469882575E-005                 -1.2609342574320139E-013                 -2.1716323267538233E+000                  2.4534436682742205E-004                  2.5249079142559720E+015                  1.5402245543619129E+001                  4.5806360598536351E+001                  1.6609257876337318E+000                  3.4568879006559810E+051                 -2.1725964759730938E+000 
                 7.3606282438087796E+000                 -4.8554655841301414E-001                  1.5066558433999889E+001                  6.6368219436581200E+005                  0.0000000000000000E+000                                        8                  7.0771581476587638E+007                 -8.5973116460170775E+000                  1.3348680797509551E+000                  5.8138575220743904E-001                  8.5788397438786150E+015                  1.2118365491696470E+009                  4.2499271666076355E+009                  1.4047945338149828E+000                  1.3588701799413376E+000                  4.0056615367058174E-001                  2.7983133589077411E+000                  1.9173249565749892E-001                  2.0000000000000000E+000                 -7.2176195430895422E+000                  1.7599810453298709E+001                  1.1486415095695021E-002                  1.6433920389515109E-003                  2.4606460241118918E-004                  5.4848256094779559E+000                 -9.8999999999999986E+001                  5.4287754215003636E-032                  9.9800573208670140E-001                  3.5429626879116117E-005                  2.9697712459272778E-005                  1.5075309063549707E-004                  4.8003173860776390E-005                  9.5182462959034537E-005                  1.5141110161354732E-032                  2.6346120855854427E-031                  4.9942591584448828E-038                  4.5423875556764279E-005                 -1.2635301955869488E-013                 -2.1713579073048095E+000                  2.4640524889789036E-004                  2.5105673605050610E+015                  1.5399771878330634E+001                  4.5283299061569735E+001                  1.6559380593472368E+000                  3.4561029637172144E+051                 -2.1723030137731700E+000 
                 7.3650201162279085E+000                 -4.7159137172564153E-001                  1.5084438897974779E+001                  6.6371019716642192E+005                  0.0000000000000000E+000                                        8                  7.1094152804612800E+007                 -8.5799802292911718E+000                  1.3348680797395533E+000                  5.8044245175450093E-001                  8.6543388666976370E+015                  1.2098398429042068E+009                  4.2386015443956943E+009                  1.4048743940504567E+000                  1.3589094855157826E+000                  4.0099726461549895E-001                  2.7970210878945214E+000                  1.9161533937498712E-001                  2.0000000000000000E+000                 -7.2185240309649954E+000                  1.7599438067030661E+001                  1.1708055590585633E-002                  1.6434015692306314E-003                  2.4742379734669987E-004                  5.4785258885654642E+000                 -9.8999999999999986E+001                  5.1123278811473735E-032                  9.9800573212073618E-001                  3.5429830762638833E-005                  2.9697712025251748E-005                  1.5075309063549761E-004                  4.8003173860776654E-005                  9.5182462959034984E-005                  1.7672869723672193E-032                  3.0096998238856568E-031                  8.3144134715670523E-038                  4.5455748333183612E-005                 -1.3048136764780200E-013                 -2.1712055940480322E+000                  2.4697195696672306E-004                  2.5004090716685695E+015                  1.5398011065886042E+001                  4.4555019155882114E+001                  1.6488966347235383E+000                  3.4551849726925541E+051                 -2.1721240463589204E+000 
                 7.3697055295002292E+000                 -4.5618770836039696E-001                  1.5103721319459099E+001                  6.6377900869496993E+005                  0.0000000000000000E+000                                        8                  7.1415913138898164E+007                 -8.5606140638881065E+000                  1.3348680797251800E+000                  5.7827481990467533E-001                  8.7278641212049840E+015                  1.2063906150844059E+009                  4.2191039193420253E+009                  1.4050149950210011E+000                  1.3589787660864026E+000                  4.0174249968628339E-001                  2.7947859472121666E+000                  1.9149338663416565E-001                  2.0000000000000000E+000                 -7.2205064210568413E+000                  1.7599025403950524E+001                  1.2231187631790996E-002                  1.6434237583474276E-003                  2.4742745643507061E-004                  5.4639548457033680E+000                 -9.8999999999999986E+001                  4.7261902270924010E-032                  9.9800573216364230E-001                  3.5430087789007629E-005                  2.9697711478372742E-005                  1.5075309063549753E-004                  4.8003173860776688E-005                  9.5182462959034645E-005                  2.0714761616669514E-032                  3.4212759417224549E-031                  1.4352258736519146E-037                  4.5531106588754528E-005                 -1.3477152951572511E-013                 -2.1708458972316977E+000                  2.4767356313031355E-004                  2.4774905362265590E+015                  1.5394012004197702E+001                  4.3786350918254527E+001                  1.6413387533195394E+000                  3.4538605201488919E+051                 -2.1717406056939668E+000 
